pair,spearmann,p_value,variable_1,variable_2
,0.19082415304067693,0.0027068619309380784,experience_level,salary
,0.3655203152879278,3.693473116360691e-09,experience_level,salary_in_usd
,-0.173549293500622,0.0064637258985556405,employment_type,salary_currency
,-0.16956190858907316,0.007819215844276282,employment_type,salary_in_usd
,0.25016188077044177,7.53414009966971e-05,job_title,salary_in_usd
,0.24124352565561144,0.00013716793461310956,salary,salary_currency
,0.4322716540716849,1.4148118126695045e-12,salary,salary_in_usd
,0.27882636536578237,9.415579500891128e-06,salary,employee_residence
,0.2364318530286885,0.00018778303990883927,salary,company_location
,-0.16800829852622987,0.00841239484835748,salary,company_size
,0.42800612762609325,2.46842690967936e-12,salary_currency,salary_in_usd
,0.8002398744896764,6.901449864974995e-56,salary_currency,employee_residence
,0.23257476389951195,0.00024043670925706127,salary_currency,remote_ratio
,0.7973991367435661,3.1785725641440443e-55,salary_currency,company_location
,0.45178161479244316,1.0022399403404189e-13,salary_in_usd,employee_residence
,0.2335197755324286,0.00022639373936143872,salary_in_usd,remote_ratio
,0.4013132470028161,6.763981620124036e-11,salary_in_usd,company_location
,-0.21183415233150163,0.0008477333094793856,salary_in_usd,company_size
,0.24124324383381765,0.00013717048369143685,employee_residence,remote_ratio
,0.8269224987441414,1.085523993888498e-62,employee_residence,company_location
,-0.16572346986269693,0.00935745222108993,employee_residence,company_size
,0.261841504277062,3.3226538460374165e-05,remote_ratio,company_location
