pair,spearmann,p_value,variable_1,variable_2
,0.20725553214536246,0.005373355062423086,experience_level,salary
,0.3616905192197444,6.536659481111251e-07,experience_level,salary_in_usd
,-0.28687832221818776,9.883316535380108e-05,employment_type,job_title
,0.29034285150415173,8.061044444022795e-05,job_title,salary_in_usd
,0.2162370987003472,0.003646058840998205,salary,salary_currency
,0.4479112887103937,3.238991754378735e-10,salary,salary_in_usd
,0.2644281022872058,0.00034768877450374594,salary,employee_residence
,0.2317852261792474,0.0017964050208645976,salary,company_location
,-0.19481420422718496,0.008968219104051154,salary,company_size
,0.39759155095663984,3.5672020695576425e-08,salary_currency,salary_in_usd
,0.7990705463306936,5.814547269598694e-41,salary_currency,employee_residence
,0.7921846832310215,8.239922339616304e-40,salary_currency,company_location
,0.4400320874576404,7.122791799970776e-10,salary_in_usd,employee_residence
,0.23903943412517756,0.0012704515356805844,salary_in_usd,remote_ratio
,0.38117883326839963,1.4079255352026423e-07,salary_in_usd,company_location
,-0.21761806616068488,0.003430345287464743,salary_in_usd,company_size
,0.7969667999397753,1.3212849768275058e-40,employee_residence,company_location
