pair,spearmann,p_value,variable_1,variable_2
,0.3736392352374884,0.002000119059940282,experience_level,salary_in_usd
,0.3298438303489362,0.006838523494540773,salary,salary_currency
,0.3913688011971827,0.0011564524317273358,salary,salary_in_usd
,0.5004185822561591,1.8798526498376437e-05,salary_currency,salary_in_usd
,0.803988418379608,4.3739005808841607e-16,salary_currency,employee_residence
,0.38827197029165966,0.0012753799555666238,salary_currency,remote_ratio
,0.8258434238888063,1.426092710386986e-17,salary_currency,company_location
,0.46955802471947505,6.966798653959658e-05,salary_in_usd,employee_residence
,0.45404582517997066,0.00012854906898756828,salary_in_usd,company_location
,0.4441217557179091,0.00018736983212034317,employee_residence,remote_ratio
,0.912947266470656,1.3271985081536047e-26,employee_residence,company_location
,0.5053170816750351,1.5089461880996761e-05,remote_ratio,company_location
